wl,n,k
300,2.039064179,0.033877985
310,2.023602985,0.027752537
320,2.009691045,0.022823716
330,1.997019403,0.018715925
340,1.985649254,0.015393254
350,1.97511791,0.012622612
360,1.965541791,0.010375479
370,1.956795522,0.008504852
380,1.948720896,0.006989193
390,1.941285075,0.005733806
400,1.934458209,0.004721999
410,1.928064179,0.003892187
420,1.922174627,0.003231128
430,1.916737313,0.002698301
440,1.911601493,0.002283087
450,1.906908955,0.001958919
460,1.902447761,0.001717133
470,1.898283582,0.001540103
480,1.894416418,0.001420851
490,1.890765672,0.001347681
500,1.887343284,0.001315021
510,1.884138806,0.001314963
520,1.881061194,0.001343137
530,1.878225373,0.001394313
540,1.875516418,0.001464869
550,1.87298209,0.001551309
560,1.870519403,0.001650918
570,1.868280597,0.001761291
580,1.866065672,0.001880221
590,1.864049254,0.002006149
600,1.862108955,0.002137449
610,1.860240299,0.002272924
620,1.858470149,0.002411321
630,1.856828358,0.002551961
640,1.855186567,0.00269383
650,1.853613433,0.002836436
660,1.852220896,0.002979104
670,1.850795522,0.00312144
680,1.849452239,0.003262982
690,1.848174627,0.003403334
700,1.846980597,0.003542376
710,1.845786567,0.003679624
720,1.84470597,0.003815176
730,1.843661194,0.003948666
740,1.842616418,0.004080176
750,1.841632836,0.004209266
760,1.840637313,0.004336255
770,1.839741791,0.004460733
780,1.838855224,0.004582918
790,1.838050746,0.004702576
800,1.837255224,0.004820069
810,1.836416418,0.004934818
820,1.835670149,0.005047324
830,1.834979104,0.005157313
840,1.834277612,0.00526507
850,1.833585075,0.005370204
860,1.832985075,0.005473321
870,1.832291045,0.005573843
880,1.83169403,0.005672266
890,1.831097015,0.005768325
900,1.8306,0.0058624
910,1.83,0.0059542
920,1.8295,0.0060439
930,1.829,0.0061315
940,1.8285,0.0062171
950,1.828,0.0063007
960,1.8275,0.0063825
970,1.8271,0.0064623
980,1.8266,0.0065403
990,1.8262,0.0066165
1000,1.8258,0.0066909
1010,1.8254,0.0067637
1020,1.825,0.0068348
1030,1.8246,0.0069043
1040,1.8243,0.0069722
1050,1.8239,0.0070385
1060,1.8236,0.0071034
1070,1.8232,0.0071668
1080,1.8229,0.0072287
1090,1.8226,0.0072893
1100,1.8223,0.0073486
1110,1.822,0.0074065
1120,1.8217,0.0074631
1130,1.8214,0.0075185
1140,1.8211,0.0075727
1150,1.8209,0.0076257
1160,1.8206,0.0076776
1170,1.8203,0.0077283
1180,1.8201,0.007778
1190,1.8198,0.0078266
1200,1.8196,0.0078741