"λ,n (nm)",n,k
210.16,1.36484,2.70423
212.86,1.40688,2.74198
215.64,1.45125,2.78029
218.49,1.49811,2.81912
221.42,1.54766,2.85841
224.42,1.6001,2.8981
227.51,1.65565,2.9381
230.68,1.71456,2.97831
233.95,1.77708,3.0186
237.31,1.84351,3.0588
240.76,1.91413,3.0987
244.32,1.98927,3.13807
247.99,2.06926,3.1766
251.76,2.15446,3.21393
255.65,2.24522,3.24961
259.67,2.3419,3.28312
263.81,2.44485,3.31382
268.09,2.5544,3.34097
272.51,2.67081,3.36368
277.08,2.79428,3.38094
281.8,2.92487,3.39155
283.41,2.96997,3.39339
285.04,3.01584,3.39429
286.69,3.06248,3.3942
288.35,3.10987,3.39306
290.04,3.15799,3.39081
291.75,3.20682,3.3874
293.47,3.25632,3.38277
295.22,3.30648,3.37684
296.99,3.35725,3.36957
298.78,3.4086,3.36089
300.59,3.46048,3.35074
302.42,3.51283,3.33905
304.28,3.56561,3.32577
306.15,3.61874,3.31084
308.06,3.67217,3.2942
309.98,3.72582,3.27579
311.93,3.7796,3.25557
313.91,3.83343,3.23349
315.9,3.88722,3.20951
317.93,3.94087,3.18359
319.98,3.99427,3.15569
322.06,4.04733,3.1258
324.16,4.09992,3.0939
326.3,4.15193,3.05998
328.46,4.20324,3.02404
330.65,4.25373,2.98609
332.87,4.30327,2.94615
335.12,4.35174,2.90424
337.39,4.39902,2.86041
339.71,4.44498,2.81471
342.05,4.48951,2.76719
344.42,4.53248,2.71793
346.83,4.57379,2.66701
349.27,4.61334,2.61451
351.75,4.65101,2.56054
354.26,4.68673,2.5052
356.81,4.72041,2.44861
359.4,4.75197,2.39088
362.02,4.78137,2.33216
364.68,4.80854,2.27255
367.39,4.83345,2.21221
370.13,4.85606,2.15126
372.91,4.87636,2.08984
375.74,4.89434,2.02809
378.6,4.91,1.96614
381.52,4.92336,1.90412
384.47,4.93445,1.84217
387.48,4.94329,1.7804
391.14,4.95099,1.70669
394.88,4.95561,1.63361
398.69,4.95725,1.56134
402.57,4.95601,1.49005
406.53,4.95202,1.41988
410.57,4.94541,1.35098
414.69,4.93632,1.28347
418.89,4.92488,1.21744
423.18,4.91123,1.15299
427.56,4.89552,1.09019
432.03,4.87789,1.02911
436.59,4.85847,0.96979
441.25,4.8374,0.91229
446.02,4.81482,0.85662
450.88,4.79084,0.8028
455.86,4.76559,0.75085
460.94,4.73918,0.70076
466.14,4.71173,0.65255
471.45,4.68333,0.6062
476.89,4.65409,0.56169
482.46,4.6241,0.51901
488.16,4.59344,0.47815
493.99,4.5622,0.43908
499.97,4.53045,0.40179
506.09,4.49827,0.36624
512.37,4.46571,0.33243
518.8,4.43285,0.30031
525.39,4.39974,0.26989
532.16,4.36643,0.24112
539.1,4.33299,0.214
546.22,4.29946,0.18851
553.54,4.26589,0.16464
561.05,4.23233,0.14237
568.77,4.19883,0.1217
576.71,4.16545,0.10261
584.87,4.13223,0.08511
593.27,4.09922,0.06921
601.91,4.06651,0.05489
610.8,4.03414,0.04219
619.96,4.0022,0.0311